电影名,导演,主演,年份,电影类型,评分,评语,电影海报
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,1998,剧情 战争,9.0,美利坚精神输出大片No1.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.webp
音乐之声,罗伯特·怀斯 Robert Wise   ,朱莉·安德鲁斯 Julie Andrews / 克...,1965,剧情 传记 爱情 歌舞,9.1,用音乐化解仇恨，让歌声串起美好。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.webp
小鞋子,马基德·马基迪 Majid Majidi   ,默罕默德·阿米尔·纳吉 Mohamma...,1997,剧情 儿童 家庭,9.2,奔跑的孩子是天使。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.webp
阿凡达,詹姆斯·卡梅隆 James Cameron   ,萨姆·沃辛顿 Sam Worthington ...,2009,动作 科幻 冒险,8.8,绝对意义上的美轮美奂。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.webp
海豚湾,路易·西霍尤斯 Louie Psihoyos   ,Richard O'Barry / 路易·西霍...,2009,纪录片,9.3,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.webp
致命魔术,克里斯托弗·诺兰 Christopher Nolan   ,休·杰克曼 Hugh Jackman...,2006,剧情 悬疑 惊悚,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.webp
美国往事,赛尔乔·莱翁内 Sergio Leone   ,罗伯特·德尼罗 Robert De Niro ...,1984,犯罪 剧情,9.2,往事如烟，无处祭奠。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.webp
沉默的羔羊,乔纳森·戴米 Jonathan Demme   ,朱迪·福斯特 Jodie Foster / 安...,1991,剧情 犯罪 惊悚,8.9,安东尼·霍普金斯的顶级表演。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.webp
禁闭岛,Martin Scorsese   ,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,剧情 悬疑 惊悚,8.8,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.webp
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,2004,剧情 悬疑 科幻 惊悚,8.8,人的命运被自己瞬间的抉择改变。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.webp
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino   ,约翰·特拉沃尔塔 John Tra...,1994,剧情 喜剧 犯罪,8.9,故事的高级讲法。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.webp
心灵捕手,格斯·范·桑特 Gus Van Sant   ,马特·达蒙 Matt Damon / 罗宾·...,1997,剧情,8.9,人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.webp
布达佩斯大饭店,韦斯·安德森 Wes Anderson   ,拉尔夫·费因斯 Ralph Fiennes / ...,2014,剧情 喜剧 冒险,8.9,小清新的故事里注入了大历史的情怀。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.webp
